File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXCullState.cpp,21,17,8,1,4,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDebugRenderer.cpp,22,18,7,0,4,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDef.cpp,962,821,411,72,119,0,22,22,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDepthBuffer.cpp,6,5,1,0,1,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDepthTestState.cpp,32,26,13,2,6,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXFrameBuffer.cpp,99,84,48,11,15,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXIndexBuffer.cpp,101,84,51,10,17,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXPixelBuffer.cpp,120,91,53,15,21,0,8,35,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXPolygonOffsetState.cpp,22,18,9,2,4,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXPrimitive.cpp,14,12,7,0,2,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXRenderTarget.cpp,57,49,32,0,8,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXShaderProgram.cpp,626,471,271,78,111,0,44,73,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXStencilOpState.cpp,43,35,18,3,8,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXStencilTestState.cpp,54,44,23,4,10,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXTexture.cpp,136,99,45,9,22,0,15,79,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXTexture2D.cpp,69,57,17,0,12,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXTextureCube.cpp,71,59,17,0,12,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXTextureFilterState.cpp,32,26,13,2,6,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXTextureWrapState.cpp,32,26,13,2,6,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXUniform.cpp,107,84,56,6,23,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXVertexBuffer.cpp,113,93,54,14,20,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\HeightFieldCollider.cpp,75,50,20,3,15,0,10,32,8,27
