Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kbaselib\object\e,1,81,22,9,0,16,1,43,301,2,4
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kcharacterdef,1,64,17,22,0,11,3,36,271,2,4
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kfcurve,4,5947,2424,1362,116,935,77,2588,19504,8,16
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\libxml2-2.6.4,24,7547,4714,1421,12,796,908,2037,12044,230,1093
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\libxml2-2.6.4\include,21,7041,4381,1361,12,733,901,1927,11526,187,858
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\libxml2-2.6.4\include\libxml,21,7041,4381,1361,12,733,901,1927,11526,187,858
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\fbxcore,12,2988,786,472,31,455,39,1747,11065,54,183
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\fbxcore\fbxcollection,5,1108,294,165,12,157,16,657,3815,30,110
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\fbxcore\fbxxref,4,408,64,35,0,64,5,280,2108,8,16
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\fbxprocessors,7,705,201,98,11,110,10,394,2678,14,28
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\kfbxcharacter,3,1458,776,397,7,200,24,482,3365,6,12
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\kfbxevents,5,833,281,122,12,108,7,444,3688,10,19
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\kfbxio,12,4614,2175,437,2,727,53,1712,10129,85,333
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\kfbxmath,7,2276,385,272,0,425,16,1466,8704,24,73
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\kfbxmodules,7,792,226,99,1,132,19,434,3017,54,207
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\kfbxmp,1,97,32,18,0,18,1,47,330,2,4
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\kfbxplugins,125,44827,12067,7999,290,6839,471,25921,184929,572,1969
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\freetype,44,18396,3628,955,0,2206,241,12562,55513,948,4894
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\freetype\include,44,18396,3628,955,0,2206,241,12562,55513,948,4894
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\freetype\include\freetype2,43,18334,3624,955,0,2197,240,12513,55247,901,4641
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\freetype\include\freetype2\freetype,43,18334,3624,955,0,2197,240,12513,55247,901,4641
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\freetype\include\freetype2\freetype\config,5,1981,354,12,0,351,28,1276,6244,93,519
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg,348,96978,73878,38267,818,6475,3008,16625,121022,7473,53223
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni,348,96978,73878,38267,818,6475,3008,16625,121022,7473,53223
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg,348,96978,73878,38267,818,6475,3008,16625,121022,7473,53223
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec,237,84197,67705,36292,707,4905,2193,11587,82641,5257,37092
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\alpha,3,305,214,56,2,32,16,59,502,58,440
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\arm,4,317,205,55,11,35,4,77,595,75,570
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\avr32,1,102,69,28,7,13,2,20,151,20,147
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\bfin,3,230,124,47,3,34,3,72,468,71,456
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\mips,1,77,47,16,4,11,1,19,145,19,143
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\ppc,5,441,268,65,9,47,9,126,922,101,745
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\ps2,1,172,70,0,0,40,1,62,326,19,143
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\sh4,2,74,28,4,0,10,1,36,280,36,278
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\sparc,2,362,236,27,2,60,1,66,516,56,459
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavcodec\x86,10,905,526,98,5,160,34,219,1727,206,1493
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavformat,54,6635,2715,1337,15,852,620,3068,23508,1110,8100
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil,56,5255,2582,638,96,705,194,1968,14859,1105,8022
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\arm,4,248,137,47,10,39,10,72,578,72,556
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\avr32,2,228,149,60,11,29,5,50,410,36,278
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\bfin,2,88,34,14,2,12,2,42,297,42,293
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\mips,1,95,63,24,3,13,2,19,147,19,143
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\ppc,2,157,87,32,5,27,4,43,324,38,286
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\sh4,1,49,21,6,2,7,1,21,146,21,144
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\tomi,1,149,118,24,4,12,1,19,145,19,143
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\testffmpeg\jni\ffmpeg\libavutil\x86,4,232,117,29,4,37,8,78,591,78,573
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\unzip,6,880,390,159,9,132,45,358,2312,133,711
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\zlib,22,7216,3500,3711,2,615,426,3101,27850,216,1605
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\zlib\include,11,3306,1625,1839,1,288,210,1393,12425,108,802
